PUB_ID_C,SKU,ISBN,TITLE,CUSTOMER_NAME,A_STATUS,BOOKTYPEID,CARTON_QTY,WEIGHT,BOOKGROUP,BOOKTYPEDESC,US_INGRAM_GAP_LIST_PRICE
6010036,671529366,9.78067E+12,Star Trek: Deep Space Nine: The Ferengi Rules of Acquisition (Original),Simon & Schuster,production,301,66,0.129,R,B&W 4 x 6 in or 152 x 102 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1416569561,9.78142E+12,Soul to Soul Meditations: Daily Reflections for Spiritual Growth,Simon & Schuster,production,301,16,0.458,R,B&W 4 x 6 in or 152 x 102 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1416950907,9.78142E+12,POCKET KARAOKE,Simon & Schuster,production,301,20,0.383,R,B&W 4 x 6 in or 152 x 102 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,684838265,9.78068E+12,Goof Proofer,Simon & Schuster,production,163,72,0.191,A,B&W 4.25 x 7 in or 178 x 108 mm Perfect Bound on Creme w/Gloss Lam,
6010036,689835337,9.78069E+12,Watcher (Reprint),Simon & Schuster,production,139,40,0.323,P,B&W 4.25 x 7 in or 178 x 108 mm Perfect Bound on White w/Gloss Lam,
6010036,743482670,9.78074E+12,Stone Cold Truth,Simon & Schuster,production,158,20,0.747,A,B&W 4.72 x 7.48 in or 190 x 120 mm Perfect Bound on Creme w/Gloss Lam,
6010036,1439125651,9.78144E+12,"Sexually, I'm More of a Switzerland: More Personal Ads from the London Review of Books",Simon & Schuster,production,158,38,0.419,A,B&W 4.72 x 7.48 in or 190 x 120 mm Perfect Bound on Creme w/Gloss Lam,
6116703,1627780300,9.78163E+12,50 Shades of Kink: An Introduction to BDSM,S&S Inc.,production,26,42,0.37,A,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Creme w/Gloss Lam,
6116703,1627780378,9.78163E+12,Big Book of Submission: 69 Kinky Tales,S&S Inc.,production,26,18,0.809,A,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Creme w/Gloss Lam,
6116703,1627781188,9.78163E+12,"Bondage Bites: 69 Super-Short Stories of Love, Lust and Bdsm",S&S Inc.,production,26,26,0.61,A,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Creme w/Gloss Lam,
6010036,671023705,9.78067E+12,Elements of Effort: Reflections on the Art and Science of Running,Simon & Schuster,production,319,32,0.371,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,671024493,9.78067E+12,Floating (Original),Simon & Schuster,production,319,24,0.481,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,684849933,9.78068E+12,Daddies and Daughters,Simon & Schuster,production,319,22,0.504,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,689852703,9.78069E+12,LIFE HISTORY OF A STAR,Simon & Schuster,production,319,32,0.371,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,689853858,9.78069E+12,Friction,Simon & Schuster,production,319,32,0.371,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,689854021,9.78069E+12,SEEK,Simon & Schuster,production,319,38,0.318,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,689859481,9.78069E+12,Book of the Sword,Simon & Schuster,production,319,30,0.398,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,689864426,9.78069E+12,Seven Tears Into the Sea,Simon & Schuster,production,319,22,0.507,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,689870388,9.78069E+12,"Freaks: Alive, on the Inside! (Reprint)",Simon & Schuster,production,319,20,0.587,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,743238451,9.78074E+12,TANGLE IN TIJUANA,Simon & Schuster,production,319,30,0.398,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,074323846X,9.78074E+12,BEAUTY QUEEN BLOWOUT,Simon & Schuster,production,319,28,0.424,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,743267788,9.78074E+12,Boys Will Put You on a Pedestal (So They Can Look Up Your Skirt): A Dad's Advice for Daughters,Simon & Schuster,production,319,34,0.344,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,743407865,9.78074E+12,BRAVE NEW GIRL,Simon & Schuster,production,319,32,0.371,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,743453913,9.78074E+12,Don't Sleep with Your Drummer,Simon & Schuster,production,319,16,0.667,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,743497333,9.78074E+12,Bad Girls (Original),Simon & Schuster,production,319,20,0.557,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1416503420,9.78142E+12,Dance Recover Repeat,Simon & Schuster,production,319,16,0.667,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1416503870,9.78142E+12,LOW-CARB COCKTAILS,Simon & Schuster,production,319,30,0.398,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1416516328,9.78142E+12,DEAD EMCEE SCROLLS,Simon & Schuster,production,319,32,0.374,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1416520333,9.78142E+12,Plan B,Simon & Schuster,production,319,22,0.504,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1416520414,9.78142E+12,"Bling Addiction: Fast Girls, Hot Boys Series",Simon & Schuster,production,319,28,0.428,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1416521682,9.78142E+12,EVERYTHING SHE WANTS,Simon & Schuster,production,319,28,0.424,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,141653461X,9.78142E+12,Graffiti Girl,Simon & Schuster,production,319,26,0.454,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,141653704X,9.78142E+12,Start Something: You Can Make a Difference,Simon & Schuster,production,319,46,0.265,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1416538275,9.78142E+12,Uninvited,Simon & Schuster,production,319,24,0.477,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1416546634,9.78142E+12,HOW IT ENDS,Simon & Schuster,production,319,18,0.64,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1416548068,9.78142E+12,OBLIVION ROAD,Simon & Schuster,production,319,22,0.531,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1416549463,9.78142E+12,Little Things: A Memoir in Slices,Simon & Schuster,production,319,18,0.614,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1416549471,9.78142E+12,FUNNY MISSHAPEN BODY,Simon & Schuster,production,319,20,0.561,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1416550127,9.78142E+12,101 Most Important Things You Need to Know Before You Have a Baby: Life Lessons You're Going to Learn Sooner or Later...,Simon & Schuster,waitspecs,319,58,0.211,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,141655050X,9.78142E+12,Moby Clique,Simon & Schuster,production,319,22,0.531,R,B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
