"PUB_ID_C","SKU","ISBN","TITLE","CUSTOMER_NAME","A_STATUS","BOOKTYPEID","CARTON_QTY","WEIGHT","BOOKGROUP","BOOKTYPEDESC","US_INGRAM_GAP_LIST_PRICE"
"6010036","0671529366","9780671529369","Star Trek: Deep Space Nine: The Ferengi Rules of Acquisition (Original)","Simon & Schuster","production","301","66",".129","R","B&W 4 x 6 in or 152 x 102 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416569561","9781416569565","Soul to Soul Meditations: Daily Reflections for Spiritual Growth","Simon & Schuster","production","301","16",".458","R","B&W 4 x 6 in or 152 x 102 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416950907","9781416950905","POCKET KARAOKE","Simon & Schuster","production","301","20",".383","R","B&W 4 x 6 in or 152 x 102 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","0684838265","9780684838267","Goof Proofer","Simon & Schuster","production","163","72",".191","A","B&W 4.25 x 7 in or 178 x 108 mm Perfect Bound on Creme w/Gloss Lam",""
"6010036","0689835337","9780689835339","Watcher (Reprint)","Simon & Schuster","production","139","40",".323","P","B&W 4.25 x 7 in or 178 x 108 mm Perfect Bound on White w/Gloss Lam",""
"6010036","0743482670","9780743482677","Stone Cold Truth","Simon & Schuster","production","158","20",".747","A","B&W 4.72 x 7.48 in or 190 x 120 mm Perfect Bound on Creme w/Gloss Lam",""
"6010036","1439125651","9781439125656","Sexually, I'm More of a Switzerland: More Personal Ads from the London Review of Books","Simon & Schuster","production","158","38",".419","A","B&W 4.72 x 7.48 in or 190 x 120 mm Perfect Bound on Creme w/Gloss Lam",""
"6116703","1627780300","9781627780308","50 Shades of Kink: An Introduction to BDSM","S&S Inc.","production","26","42",".37","A","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Creme w/Gloss Lam",""
"6116703","1627780378","9781627780377","Big Book of Submission: 69 Kinky Tales","S&S Inc.","production","26","18",".809","A","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Creme w/Gloss Lam",""
"6116703","1627781188","9781627781183","Bondage Bites: 69 Super-Short Stories of Love, Lust and Bdsm","S&S Inc.","production","26","26",".61","A","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Creme w/Gloss Lam",""
"6010036","0671023705","9780671023706","Elements of Effort: Reflections on the Art and Science of Running","Simon & Schuster","production","319","32",".371","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","0671024493","9780671024499","Floating (Original)","Simon & Schuster","production","319","24",".481","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","0684849933","9780684849935","Daddies and Daughters","Simon & Schuster","production","319","22",".504","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","0689852703","9780689852701","LIFE HISTORY OF A STAR","Simon & Schuster","production","319","32",".371","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","0689853858","9780689853852","Friction","Simon & Schuster","production","319","32",".371","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","0689854021","9780689854026","SEEK","Simon & Schuster","production","319","38",".318","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","0689859481","9780689859489","Book of the Sword","Simon & Schuster","production","319","30",".398","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","0689864426","9780689864421","Seven Tears Into the Sea","Simon & Schuster","production","319","22",".507","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","0689870388","9780689870385","Freaks: Alive, on the Inside! (Reprint)","Simon & Schuster","production","319","20",".587","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","0743238451","9780743238458","TANGLE IN TIJUANA","Simon & Schuster","production","319","30",".398","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","074323846X","9780743238465","BEAUTY QUEEN BLOWOUT","Simon & Schuster","production","319","28",".424","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","0743267788","9780743267786","Boys Will Put You on a Pedestal (So They Can Look Up Your Skirt): A Dad's Advice for Daughters","Simon & Schuster","production","319","34",".344","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","0743407865","9780743407861","BRAVE NEW GIRL","Simon & Schuster","production","319","32",".371","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","0743453913","9780743453912","Don't Sleep with Your Drummer","Simon & Schuster","production","319","16",".667","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","0743497333","9780743497336","Bad Girls (Original)","Simon & Schuster","production","319","20",".557","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416503420","9781416503422","Dance Recover Repeat","Simon & Schuster","production","319","16",".667","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416503870","9781416503873","LOW-CARB COCKTAILS","Simon & Schuster","production","319","30",".398","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416516328","9781416516323","DEAD EMCEE SCROLLS","Simon & Schuster","production","319","32",".374","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416520333","9781416520337","Plan B","Simon & Schuster","production","319","22",".504","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416520414","9781416520412","Bling Addiction: Fast Girls, Hot Boys Series","Simon & Schuster","production","319","28",".428","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416521682","9781416521686","EVERYTHING SHE WANTS","Simon & Schuster","production","319","28",".424","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","141653461X","9781416534617","Graffiti Girl","Simon & Schuster","production","319","26",".454","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","141653704X","9781416537045","Start Something: You Can Make a Difference","Simon & Schuster","production","319","46",".265","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416538275","9781416538271","Uninvited","Simon & Schuster","production","319","24",".477","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416546634","9781416546634","HOW IT ENDS","Simon & Schuster","production","319","18",".64","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416548068","9781416548065","OBLIVION ROAD","Simon & Schuster","production","319","22",".531","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416549463","9781416549468","Little Things: A Memoir in Slices","Simon & Schuster","production","319","18",".614","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416549471","9781416549475","FUNNY MISSHAPEN BODY","Simon & Schuster","production","319","20",".561","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416550127","9781416550129","101 Most Important Things You Need to Know Before You Have a Baby: Life Lessons You're Going to Learn Sooner or Later...","Simon & Schuster","waitspecs","319","58",".211","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","141655050X","9781416550501","Moby Clique","Simon & Schuster","production","319","22",".531","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416551220","9781416551225","Diet Detective's Calorie Bargain Bible: More Than 1,000 Calorie Bargains in Supermarkets, Kitchens, Offices, Restaurants, the Movies, for Special Occa","Simon & Schuster","production","319","14",".744","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416562699","9781416562696","I Wanna Be Your Joey Ramone","Simon & Schuster","production","319","18",".614","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416563369","9781416563365","Rich Boys","Simon & Schuster","production","319","22",".504","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416570780","9781416570783","When Atheism Becomes Religion: America's New Fundamentalists","Simon & Schuster","production","319","30",".398","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416571736","9781416571735","Going Too Far","Simon & Schuster","production","319","26",".451","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416579931","9781416579939","FAIREST OF THEM ALL","Simon & Schuster","production","319","24",".477","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416596968","9781416596967","Shrinking Violet","Simon & Schuster","production","319","20",".557","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416905812","1416905812","Driftx Book 1 Slide or Die","Simon & Schuster","production","319","30",".398","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416939733","9781416939733","CRUNCH TIME","Simon & Schuster","production","319","20",".587","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416947493","9781416947493","President's Secret IMS","Simon & Schuster","production","319","22",".507","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1416975055","9781416975052","Uncle Pirate to the Rescue (Original)","Simon & Schuster","production","319","58",".215","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1439102821","9781439102824","Ballads of Suburbia","Simon & Schuster","production","319","18",".637","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1439123918","9781439123911","FULL OF LIFE","Simon & Schuster","production","319","38",".321","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1439154031","9781439154038","Walking with Friends: An Inspirational Year on the PGA Tour","Simon & Schuster","production","319","30",".401","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1439167354","9781439167359","NEVER PAY RETAIL AGAIN","Simon & Schuster","production","319","26",".454","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1439178232","9781439178232","Forget You","Simon & Schuster","production","319","20",".557","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1439187592","9781439187593","JOHN BELUSHI IS DEAD","Simon & Schuster","production","319","20",".561","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","143919114X","9781439191149","Note to Self: 30 Women on Hardship, Humiliation, Heartbreak, and","Simon & Schuster","production","319","20",".587","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1439191689","9781439191682","Wealth Watchers: A Simple Program to Help You Spend Less and Save More","Simon & Schuster","production","319","22",".531","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1439195080","9781439195086","LIVE AND LET LOVE","Simon & Schuster","production","319","22",".504","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1442481099","9781442481091","Don't Cramp My Style: Stories about ""That"" Time of the Month","Simon & Schuster","production","319","22",".531","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
"6010036","1442488808","9781442488809","Voices of the Trojan War","Simon & Schuster","production","319","52",".238","R","B&W 5 x 7 in or 178 x 127 mm Perfect Bound on Groundwood w/Gloss Lam",""
